"ï..Antibiotic","Country","X..non.susceptibles","Intermediate","Nonsusceptible","tested","Pathogen","Resistant","SPECIMEN..Sample.","Susceptible"
"Imipenem","Switzerland","76%",2,0,37,"Klebsiella pneumoniae",26,"urine",9
"Imipenem","Pakistan","40%",0,0,10,"Klebsiella pneumoniae",4,"urine",6
"Imipenem","Philippines","43%",0,0,7,"Klebsiella pneumoniae",3,"urine",4
"Cephalosporins","Switzerland","0%",0,0,69,"Klebsiella pneumoniae",0,"urine",69
"Cephalosporins","Pakistan","0%",0,0,113,"Klebsiella pneumoniae",0,"urine",113
"Cephalosporins","Pakistan","33%",1,0,3,"Klebsiella pneumoniae",0,"urine",2
"Cephalosporins","Philippines","14%",0,0,7,"Klebsiella pneumoniae",1,"urine",6
"Carbapenems","Iran, Islamic Republic of","0%",0,0,9,"Klebsiella pneumoniae",0,"urine",9
"Carbapenems","Pakistan","20%",1,0,111,"Klebsiella pneumoniae",21,"urine",89
"Carbapenems","Philippines","2%",0,0,42,"Klebsiella pneumoniae",1,"urine",41
"Carbapenems","Zambia","40%",0,0,40,"Klebsiella pneumoniae",16,"urine",24
"Trimethoprim-sulfa","Korea","100%",0,0,1,"Klebsiella pneumoniae",1,"urine",0
"Fluoroquinolones","Switzerland","37%",1,0,30,"Klebsiella pneumoniae",10,"urine",19
"Fluoroquinolones","Iran, Islamic Republic of","78%",0,0,9,"Klebsiella pneumoniae",7,"urine",2
"Fluoroquinolones","Pakistan","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Fluoroquinolones","Pakistan","0%",0,0,7,"Klebsiella pneumoniae",0,"urine",7
"Fluoroquinolones","Pakistan","66%",2,0,70,"Klebsiella pneumoniae",44,"urine",24
"Fluoroquinolones","Zambia","0%",0,0,111,"Klebsiella pneumoniae",0,"urine",111
"Levofloxacin","United Arab Emirates","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Levofloxacin","Switzerland","76%",0,0,37,"Klebsiella pneumoniae",28,"urine",9
"Levofloxacin","Philippines","94%",0,0,31,"Klebsiella pneumoniae",29,"urine",2
"Meropenem","United Arab Emirates","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Meropenem","Bahrain","67%",0,0,6,"Klebsiella pneumoniae",4,"urine",2
"Co-trimoxazole","United Arab Emirates","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Co-trimoxazole","Bahrain","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Co-trimoxazole","Switzerland","3%",0,0,37,"Klebsiella pneumoniae",1,"urine",36
"Co-trimoxazole","Pakistan","0%",0,0,113,"Klebsiella pneumoniae",0,"urine",113
"Co-trimoxazole","Zambia","0%",0,0,112,"Klebsiella pneumoniae",0,"urine",112
"Ceftazidime","Pakistan","74%",15,0,90,"Klebsiella pneumoniae",52,"urine",23
"Ceftazidime","Philippines","54%",2,0,37,"Klebsiella pneumoniae",18,"urine",17
"Ceftazidime","Tunisia","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Ceftazidime","Zambia","40%",0,0,40,"Klebsiella pneumoniae",16,"urine",24
"Ciprofloxacin","Bahrain","0%",0,0,3,"Klebsiella pneumoniae",0,"urine",3
"Ciprofloxacin","Switzerland","50%",0,0,2,"Klebsiella pneumoniae",1,"urine",1
"Ciprofloxacin","Pakistan","0%",0,0,77,"Klebsiella pneumoniae",0,"urine",77
"Ciprofloxacin","Pakistan","42%",0,0,48,"Klebsiella pneumoniae",20,"urine",28
"Ciprofloxacin","Philippines","41%",0,0,74,"Klebsiella pneumoniae",30,"urine",44
"Ciprofloxacin","Tunisia","0%",0,0,3,"Klebsiella pneumoniae",0,"urine",3
"Colistin","Bahrain","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Colistin","Switzerland","20%",25,0,299,"Klebsiella pneumoniae",35,"urine",239
"Colistin","Korea","100%",0,0,1,"Klebsiella pneumoniae",1,"urine",0
"Colistin","Pakistan","24%",0,0,21,"Klebsiella pneumoniae",5,"urine",16
"Colistin","Philippines","28%",13,0,60,"Klebsiella pneumoniae",4,"urine",43
"Ceftriaxone","Bahrain","75%",0,0,4,"Klebsiella pneumoniae",3,"urine",1
"Ceftriaxone","Switzerland","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Ceftriaxone","Pakistan","13%",0,0,77,"Klebsiella pneumoniae",10,"urine",67
"Ceftriaxone","Philippines","83%",1,0,12,"Klebsiella pneumoniae",9,"urine",2
"Cefotaxime","Bahrain","67%",0,0,3,"Klebsiella pneumoniae",2,"urine",1
"Cefotaxime","Switzerland","20%",1,0,50,"Klebsiella pneumoniae",9,"urine",40
"Cefotaxime","Pakistan","0%",0,0,77,"Klebsiella pneumoniae",0,"urine",77
"Cefotaxime","Tunisia","0%",0,0,11,"Klebsiella pneumoniae",0,"urine",11
"Doripenem","Philippines","67%",0,0,18,"Klebsiella pneumoniae",12,"urine",6
"Ertapenem","Bahrain","100%",1,0,1,"Klebsiella pneumoniae",0,"urine",0
"Ertapenem","Pakistan","46%",1,0,186,"Klebsiella pneumoniae",85,"urine",100
"Cefepime","United Arab Emirates","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Cefepime","Bahrain","67%",0,0,6,"Klebsiella pneumoniae",4,"urine",2
"Cefepime","Pakistan","27%",1,0,77,"Klebsiella pneumoniae",20,"urine",56
"Cefepime","Pakistan","84%",2,0,111,"Klebsiella pneumoniae",91,"urine",18
"Cefepime","Philippines","74%",0,0,19,"Klebsiella pneumoniae",14,"urine",5
"Cefepime","Tunisia","33%",1,0,18,"Klebsiella pneumoniae",5,"urine",12
"Imipenem","Bahrain","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Imipenem","Switzerland","34%",2,0,299,"Klebsiella pneumoniae",100,"urine",197
"Imipenem","Korea","100%",0,0,1,"Klebsiella pneumoniae",1,"urine",0
"Imipenem","Pakistan","0%",0,0,77,"Klebsiella pneumoniae",0,"urine",77
"Imipenem","Pakistan","33%",0,0,61,"Klebsiella pneumoniae",20,"urine",41
"Imipenem","Philippines","20%",0,0,30,"Klebsiella pneumoniae",6,"urine",24
"Imipenem","Tunisia","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Cephalosporins","Switzerland","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Cephalosporins","Iran, Islamic Republic of","78%",1,0,125,"Klebsiella pneumoniae",97,"urine",27
"Cephalosporins","Pakistan","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Cephalosporins","Pakistan","33%",1,0,114,"Klebsiella pneumoniae",37,"urine",76
"Cephalosporins","Philippines","19%",3,0,32,"Klebsiella pneumoniae",3,"urine",26
"Cephalosporins","Zambia","56%",0,0,39,"Klebsiella pneumoniae",22,"urine",17
"Carbapenems","United Arab Emirates","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Carbapenems","Switzerland","0%",0,0,299,"Klebsiella pneumoniae",0,"urine",299
"Carbapenems","Iran, Islamic Republic of","38%",3,0,61,"Klebsiella pneumoniae",20,"urine",38
"Carbapenems","Pakistan","16%",1,0,56,"Klebsiella pneumoniae",8,"urine",47
"Carbapenems","Pakistan","29%",21,0,89,"Klebsiella pneumoniae",5,"urine",63
"Carbapenems","Zambia","50%",0,0,6,"Klebsiella pneumoniae",3,"urine",3
"Fluoroquinolones","Switzerland","30%",24,0,299,"Klebsiella pneumoniae",67,"urine",208
"Fluoroquinolones","Iran, Islamic Republic of","38%",4,0,63,"Klebsiella pneumoniae",20,"urine",39
"Fluoroquinolones","Pakistan","0%",0,0,3,"Klebsiella pneumoniae",0,"urine",3
"Fluoroquinolones","Pakistan","6%",0,0,170,"Klebsiella pneumoniae",10,"urine",160
"Fluoroquinolones","Pakistan","29%",0,0,56,"Klebsiella pneumoniae",16,"urine",40
"Fluoroquinolones","Philippines","11%",0,0,18,"Klebsiella pneumoniae",2,"urine",16
"Fluoroquinolones","Zambia","83%",0,0,6,"Klebsiella pneumoniae",5,"urine",1
"Levofloxacin","United Arab Emirates","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Levofloxacin","Switzerland","48%",0,0,48,"Klebsiella pneumoniae",23,"urine",25
"Levofloxacin","Pakistan","27%",1,0,26,"Klebsiella pneumoniae",6,"urine",19
"Meropenem","Bahrain","0%",0,0,3,"Klebsiella pneumoniae",0,"urine",3
"Meropenem","Korea","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Co-trimoxazole","United Arab Emirates","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Co-trimoxazole","Bahrain","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Co-trimoxazole","Switzerland","0%",0,0,299,"Klebsiella pneumoniae",0,"urine",299
"Co-trimoxazole","Pakistan","0%",0,0,56,"Klebsiella pneumoniae",0,"urine",56
"Co-trimoxazole","Pakistan","42%",8,0,183,"Klebsiella pneumoniae",68,"urine",107
"Co-trimoxazole","Philippines","25%",0,0,32,"Klebsiella pneumoniae",8,"urine",24
"Ceftazidime","United Arab Emirates","50%",1,0,2,"Klebsiella pneumoniae",0,"urine",1
"Ceftazidime","Switzerland","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Ceftazidime","Philippines","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Ceftazidime","Tunisia","40%",0,0,5,"Klebsiella pneumoniae",2,"urine",3
"Ceftazidime","Zambia","100%",0,0,1,"Klebsiella pneumoniae",1,"urine",0
"Ciprofloxacin","United Arab Emirates","0%",0,0,2,"Klebsiella pneumoniae",0,"urine",2
"Ciprofloxacin","Switzerland","16%",1,0,50,"Klebsiella pneumoniae",7,"urine",42
"Ciprofloxacin","Tunisia","100%",1,0,8,"Klebsiella pneumoniae",7,"urine",0
"Ciprofloxacin","Zambia","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Colistin","Bahrain","100%",1,0,1,"Klebsiella pneumoniae",0,"urine",0
"Colistin","Switzerland","50%",0,0,2,"Klebsiella pneumoniae",1,"urine",1
"Colistin","Pakistan","21%",3,0,58,"Klebsiella pneumoniae",9,"urine",46
"Colistin","Philippines","100%",0,0,4,"Klebsiella pneumoniae",4,"urine",0
"Ceftriaxone","United Arab Emirates","0%",0,0,2,"Klebsiella pneumoniae",0,"urine",2
"Ceftriaxone","Bahrain","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Ceftriaxone","Switzerland","0%",0,0,50,"Klebsiella pneumoniae",0,"urine",50
"Ceftriaxone","Pakistan","69%",0,0,62,"Klebsiella pneumoniae",43,"urine",19
"Ceftriaxone","Philippines","33%",0,0,9,"Klebsiella pneumoniae",3,"urine",6
"Cefotaxime","Bahrain","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Cefotaxime","Philippines","0%",0,0,7,"Klebsiella pneumoniae",0,"urine",7
"Cefotaxime","Tunisia","88%",0,0,8,"Klebsiella pneumoniae",7,"urine",1
"Doripenem","Philippines","0%",0,0,2,"Klebsiella pneumoniae",0,"urine",2
"Ertapenem","Bahrain","75%",1,0,16,"Klebsiella pneumoniae",11,"urine",4
"Ertapenem","Switzerland","50%",1,0,2,"Klebsiella pneumoniae",0,"urine",1
"Ertapenem","Pakistan","37%",4,0,218,"Klebsiella pneumoniae",77,"urine",137
"Ertapenem","Philippines","71%",2,0,7,"Klebsiella pneumoniae",3,"urine",2
"Ertapenem","Tunisia","56%",0,0,9,"Klebsiella pneumoniae",5,"urine",4
"Ertapenem","Zambia","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Cefepime","Bahrain","13%",0,0,16,"Klebsiella pneumoniae",2,"urine",14
"Cefepime","Pakistan","14%",1,0,58,"Klebsiella pneumoniae",7,"urine",50
"Cefepime","Philippines","50%",0,0,2,"Klebsiella pneumoniae",1,"urine",1
"Cefepime","Tunisia","60%",1,0,10,"Klebsiella pneumoniae",5,"urine",4
"Imipenem","Bahrain","17%",0,0,18,"Klebsiella pneumoniae",3,"urine",15
"Imipenem","Pakistan","15%",0,0,34,"Klebsiella pneumoniae",5,"urine",29
"Imipenem","Philippines","0%",0,0,7,"Klebsiella pneumoniae",0,"urine",7
"Imipenem","Zambia","67%",0,0,6,"Klebsiella pneumoniae",4,"urine",2
"Cephalosporins","Pakistan","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Cephalosporins","Philippines","43%",0,0,7,"Klebsiella pneumoniae",3,"urine",4
"Cephalosporins","Zambia","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Carbapenems","United Arab Emirates","0%",0,0,2,"Klebsiella pneumoniae",0,"urine",2
"Carbapenems","Pakistan","63%",2,0,46,"Klebsiella pneumoniae",27,"urine",17
"Carbapenems","Pakistan","17%",6,0,98,"Klebsiella pneumoniae",11,"urine",81
"Carbapenems","Philippines","50%",1,0,2,"Klebsiella pneumoniae",0,"urine",1
"Carbapenems","Zambia","83%",0,0,6,"Klebsiella pneumoniae",5,"urine",1
"Trimethoprim-sulfa","Korea","67%",1,0,3,"Klebsiella pneumoniae",1,"urine",1
"Fluoroquinolones","Iran, Islamic Republic of","46%",2,0,54,"Klebsiella pneumoniae",23,"urine",29
"Fluoroquinolones","Pakistan","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Fluoroquinolones","Tunisia","33%",0,0,9,"Klebsiella pneumoniae",3,"urine",6
"Levofloxacin","Pakistan","7%",0,0,60,"Klebsiella pneumoniae",4,"urine",56
"Levofloxacin","Philippines","40%",0,0,10,"Klebsiella pneumoniae",4,"urine",6
"Levofloxacin","Zambia","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Meropenem","Bahrain","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Co-trimoxazole","Bahrain","69%",0,0,16,"Klebsiella pneumoniae",11,"urine",5
"Ceftazidime","United Arab Emirates","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Ceftazidime","Korea","100%",0,0,5,"Klebsiella pneumoniae",5,"urine",0
"Ceftazidime","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"urine",0
"Ciprofloxacin","United Arab Emirates","0%",0,0,2,"Klebsiella pneumoniae",0,"urine",2
"Ciprofloxacin","Bahrain","11%",0,0,18,"Klebsiella pneumoniae",2,"urine",16
"Ciprofloxacin","Pakistan","8%",2,0,95,"Klebsiella pneumoniae",6,"urine",87
"Ciprofloxacin","Tunisia","40%",0,0,5,"Klebsiella pneumoniae",2,"urine",3
"Colistin","United Arab Emirates","100%",1,0,2,"Klebsiella pneumoniae",1,"urine",0
"Colistin","Bahrain","25%",1,0,4,"Klebsiella pneumoniae",0,"urine",3
"Colistin","Pakistan","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Colistin","Philippines","67%",0,0,9,"Klebsiella pneumoniae",6,"urine",3
"Colistin","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Colistin","Tunisia","80%",1,0,5,"Klebsiella pneumoniae",3,"urine",1
"Ceftriaxone","Pakistan","0%",0,0,56,"Klebsiella pneumoniae",0,"urine",56
"Ceftriaxone","Pakistan","30%",5,0,94,"Klebsiella pneumoniae",23,"urine",66
"Cefotaxime","United Arab Emirates","0%",0,0,51,"Klebsiella pneumoniae",0,"urine",51
"Cefotaxime","Philippines","0%",0,0,19,"Klebsiella pneumoniae",0,"urine",19
"Cefotaxime","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"urine",0
"Doripenem","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Ertapenem","United Arab Emirates","0%",0,0,51,"Klebsiella pneumoniae",0,"urine",51
"Ertapenem","Thailand","100%",1,0,1,"Klebsiella pneumoniae",0,"urine",0
"Ertapenem","Tunisia","25%",0,0,8,"Klebsiella pneumoniae",2,"urine",6
"Ertapenem","Zambia","42%",0,0,33,"Klebsiella pneumoniae",14,"urine",19
"Cefepime","Pakistan","13%",0,0,8,"Klebsiella pneumoniae",1,"urine",7
"Cefepime","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Cefepime","Tunisia","33%",0,0,9,"Klebsiella pneumoniae",3,"urine",6
"Imipenem","United Arab Emirates","80%",6,0,20,"Klebsiella pneumoniae",10,"urine",4
"Imipenem","Bahrain","38%",0,0,16,"Klebsiella pneumoniae",6,"urine",10
"Imipenem","Pakistan","23%",0,0,56,"Klebsiella pneumoniae",13,"urine",43
"Imipenem","Pakistan","13%",1,0,8,"Klebsiella pneumoniae",0,"urine",7
"Imipenem","Philippines","63%",0,0,8,"Klebsiella pneumoniae",5,"urine",3
"Imipenem","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"urine",0
"Imipenem","Tunisia","70%",0,0,10,"Klebsiella pneumoniae",7,"urine",3
"Imipenem","Zambia","46%",1,0,35,"Klebsiella pneumoniae",15,"urine",19
"Cephalosporins","United Arab Emirates","5%",0,0,20,"Klebsiella pneumoniae",1,"urine",19
"Cephalosporins","Pakistan","0%",0,0,7,"Klebsiella pneumoniae",0,"urine",7
"Cephalosporins","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"urine",0
"Cephalosporins","Tunisia","80%",1,0,5,"Klebsiella pneumoniae",3,"urine",1
"Carbapenems","Pakistan","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Carbapenems","Pakistan","0%",0,0,8,"Klebsiella pneumoniae",0,"urine",8
"Carbapenems","Pakistan","1%",0,0,96,"Klebsiella pneumoniae",1,"urine",95
"Carbapenems","Pakistan","40%",0,0,5,"Klebsiella pneumoniae",2,"urine",3
"Carbapenems","Philippines","0%",0,0,6,"Klebsiella pneumoniae",0,"urine",6
"Carbapenems","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"urine",0
"Fluoroquinolones","United Arab Emirates","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Fluoroquinolones","Switzerland","100%",0,0,3,"Klebsiella pneumoniae",3,"urine",0
"Fluoroquinolones","Iran, Islamic Republic of","20%",2,0,61,"Klebsiella pneumoniae",10,"urine",49
"Fluoroquinolones","Pakistan","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Fluoroquinolones","Pakistan","13%",0,0,8,"Klebsiella pneumoniae",1,"urine",7
"Fluoroquinolones","Pakistan","27%",3,0,96,"Klebsiella pneumoniae",23,"urine",70
"Fluoroquinolones","Thailand","87%",5,0,15,"Klebsiella pneumoniae",8,"urine",2
"Fluoroquinolones","Tunisia","38%",0,0,8,"Klebsiella pneumoniae",3,"urine",5
"Levofloxacin","Switzerland","40%",11,0,35,"Klebsiella pneumoniae",3,"urine",21
"Levofloxacin","Pakistan","33%",0,0,9,"Klebsiella pneumoniae",3,"urine",6
"Levofloxacin","Pakistan","13%",1,0,8,"Klebsiella pneumoniae",0,"urine",7
"Levofloxacin","Thailand","38%",6,0,16,"Klebsiella pneumoniae",0,"urine",10
"Meropenem","Bahrain","17%",0,0,18,"Klebsiella pneumoniae",3,"urine",15
"Co-trimoxazole","Bahrain","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Co-trimoxazole","Switzerland","60%",0,0,35,"Klebsiella pneumoniae",21,"urine",14
"Co-trimoxazole","Pakistan","0%",0,0,95,"Klebsiella pneumoniae",0,"urine",95
"Co-trimoxazole","Zambia","47%",0,0,15,"Klebsiella pneumoniae",7,"urine",8
"Ceftazidime","Pakistan","67%",0,0,3,"Klebsiella pneumoniae",2,"urine",1
"Ceftazidime","Philippines","38%",0,0,8,"Klebsiella pneumoniae",3,"urine",5
"Ciprofloxacin","Bahrain","50%",1,0,2,"Klebsiella pneumoniae",0,"urine",1
"Ciprofloxacin","Pakistan","17%",1,0,36,"Klebsiella pneumoniae",5,"urine",30
"Ciprofloxacin","Tunisia","80%",1,0,20,"Klebsiella pneumoniae",15,"urine",4
"Colistin","Bahrain","0%",0,0,16,"Klebsiella pneumoniae",0,"urine",16
"Colistin","Pakistan","38%",0,0,8,"Klebsiella pneumoniae",3,"urine",5
"Colistin","Philippines","60%",0,0,10,"Klebsiella pneumoniae",6,"urine",4
"Ceftriaxone","Bahrain","0%",0,0,18,"Klebsiella pneumoniae",0,"urine",18
"Ceftriaxone","Switzerland","46%",0,0,13,"Klebsiella pneumoniae",6,"urine",7
"Ceftriaxone","Pakistan","28%",0,0,36,"Klebsiella pneumoniae",10,"urine",26
"Ceftriaxone","Philippines","57%",0,0,7,"Klebsiella pneumoniae",4,"urine",3
"Cefotaxime","Bahrain","38%",4,0,16,"Klebsiella pneumoniae",2,"urine",10
"Cefotaxime","Switzerland","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Cefotaxime","Philippines","100%",0,0,5,"Klebsiella pneumoniae",5,"urine",0
"Doripenem","Philippines","75%",0,0,4,"Klebsiella pneumoniae",3,"urine",1
"Ertapenem","Bahrain","17%",0,0,18,"Klebsiella pneumoniae",3,"urine",15
"Ertapenem","Switzerland","0%",0,0,13,"Klebsiella pneumoniae",0,"urine",13
"Ertapenem","Korea","100%",0,0,3,"Klebsiella pneumoniae",3,"urine",0
"Ertapenem","Philippines","33%",0,0,6,"Klebsiella pneumoniae",2,"urine",4
"Ertapenem","Zambia","63%",1,0,35,"Klebsiella pneumoniae",21,"urine",13
"Cefepime","Bahrain","27%",0,0,11,"Klebsiella pneumoniae",3,"urine",8
"Cefepime","Switzerland","54%",3,0,13,"Klebsiella pneumoniae",4,"urine",6
"Cefepime","Korea","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Cefepime","Pakistan","58%",0,0,12,"Klebsiella pneumoniae",7,"urine",5
"Cefepime","Philippines","33%",0,0,3,"Klebsiella pneumoniae",1,"urine",2
"Cefepime","Tunisia","47%",0,0,36,"Klebsiella pneumoniae",17,"urine",19
"Imipenem","Bahrain","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Imipenem","Switzerland","100%",0,0,3,"Klebsiella pneumoniae",3,"urine",0
"Imipenem","Korea","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Imipenem","Pakistan","67%",0,0,9,"Klebsiella pneumoniae",6,"urine",3
"Imipenem","Pakistan","27%",0,0,62,"Klebsiella pneumoniae",17,"urine",45
"Imipenem","Pakistan","8%",1,0,12,"Klebsiella pneumoniae",0,"urine",11
"Imipenem","Tunisia","30%",0,0,10,"Klebsiella pneumoniae",3,"urine",7
"Imipenem","Zambia","82%",2,0,88,"Klebsiella pneumoniae",70,"urine",16
"Cephalosporins","Switzerland","0%",0,0,35,"Klebsiella pneumoniae",0,"urine",35
"Cephalosporins","Iran, Islamic Republic of","48%",1,0,63,"Klebsiella pneumoniae",29,"urine",33
"Cephalosporins","Pakistan","33%",0,0,3,"Klebsiella pneumoniae",1,"urine",2
"Cephalosporins","Pakistan","67%",0,0,3,"Klebsiella pneumoniae",2,"urine",1
"Cephalosporins","Philippines","50%",0,0,6,"Klebsiella pneumoniae",3,"urine",3
"Cephalosporins","Tunisia","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Carbapenems","Iran, Islamic Republic of","22%",1,0,65,"Klebsiella pneumoniae",13,"urine",51
"Carbapenems","Pakistan","0%",0,0,12,"Klebsiella pneumoniae",0,"urine",12
"Carbapenems","Pakistan","10%",0,0,10,"Klebsiella pneumoniae",1,"urine",9
"Carbapenems","Philippines","0%",0,0,3,"Klebsiella pneumoniae",0,"urine",3
"Carbapenems","Tunisia","0%",0,0,2,"Klebsiella pneumoniae",0,"urine",2
"Fluoroquinolones","Switzerland","46%",0,0,13,"Klebsiella pneumoniae",6,"urine",7
"Fluoroquinolones","Iran, Islamic Republic of","38%",4,0,65,"Klebsiella pneumoniae",21,"urine",40
"Fluoroquinolones","Pakistan","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Fluoroquinolones","Pakistan","58%",0,0,12,"Klebsiella pneumoniae",7,"urine",5
"Levofloxacin","Switzerland","100%",0,0,3,"Klebsiella pneumoniae",3,"urine",0
"Levofloxacin","Pakistan","8%",1,0,12,"Klebsiella pneumoniae",0,"urine",11
"Meropenem","Bahrain","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Co-trimoxazole","Bahrain","0%",0,0,16,"Klebsiella pneumoniae",0,"urine",16
"Co-trimoxazole","Switzerland","33%",0,0,3,"Klebsiella pneumoniae",1,"urine",2
"Co-trimoxazole","Pakistan","0%",0,0,36,"Klebsiella pneumoniae",0,"urine",36
"Co-trimoxazole","Zambia","42%",1,0,26,"Klebsiella pneumoniae",10,"urine",15
"Ceftazidime","Switzerland","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Ceftazidime","Philippines","35%",0,0,20,"Klebsiella pneumoniae",7,"urine",13
"Ceftazidime","Saudi Arabia","42%",0,0,1125,"Klebsiella pneumoniae",477,"urine",648
"Ceftazidime","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Ciprofloxacin","Bahrain","0%",0,0,18,"Klebsiella pneumoniae",0,"urine",18
"Ciprofloxacin","Switzerland","0%",0,0,3,"Klebsiella pneumoniae",0,"urine",3
"Ciprofloxacin","Korea","50%",0,0,4,"Klebsiella pneumoniae",2,"urine",2
"Ciprofloxacin","Pakistan","0%",0,0,150,"Klebsiella pneumoniae",0,"urine",150
"Ciprofloxacin","Pakistan","54%",0,0,13,"Klebsiella pneumoniae",7,"urine",6
"Ciprofloxacin","Philippines","17%",0,0,12,"Klebsiella pneumoniae",2,"urine",10
"Ciprofloxacin","Saudi Arabia","32%",0,0,326,"Klebsiella pneumoniae",104,"urine",222
"Ciprofloxacin","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Colistin","Bahrain","0%",0,0,4,"Klebsiella pneumoniae",0,"urine",4
"Colistin","Switzerland","19%",6,0,116,"Klebsiella pneumoniae",16,"urine",94
"Colistin","Pakistan","44%",0,0,9,"Klebsiella pneumoniae",4,"urine",5
"Colistin","Philippines","50%",0,0,4,"Klebsiella pneumoniae",2,"urine",2
"Colistin","Saudi Arabia","82%",0,0,481,"Klebsiella pneumoniae",395,"urine",86
"Colistin","Thailand","100%",0,0,1,"Klebsiella pneumoniae",1,"urine",0
"Ceftriaxone","Bahrain","44%",2,0,16,"Klebsiella pneumoniae",5,"urine",9
"Ceftriaxone","Philippines","0%",0,0,12,"Klebsiella pneumoniae",0,"urine",12
"Ceftriaxone","Thailand","50%",0,0,4,"Klebsiella pneumoniae",2,"urine",2
"Cefotaxime","Bahrain","17%",0,0,18,"Klebsiella pneumoniae",3,"urine",15
"Cefotaxime","Switzerland","16%",2,0,37,"Klebsiella pneumoniae",4,"urine",31
"Cefotaxime","Korea","100%",0,0,1,"Klebsiella pneumoniae",1,"urine",0
"Cefotaxime","Philippines","18%",0,0,11,"Klebsiella pneumoniae",2,"urine",9
"Cefotaxime","Thailand","100%",0,0,2,"Klebsiella pneumoniae",2,"urine",0
"Cefotaxime","Tunisia","0%",0,0,26,"Klebsiella pneumoniae",0,"urine",26
"Doripenem","Thailand","67%",0,0,3,"Klebsiella pneumoniae",2,"urine",1
"Ertapenem","Bahrain","50%",0,0,2,"Klebsiella pneumoniae",1,"urine",1
"Ertapenem","Saudi Arabia","49%",0,0,178,"Klebsiella pneumoniae",87,"urine",91
"Ertapenem","Thailand","60%",0,0,5,"Klebsiella pneumoniae",3,"urine",2
"Ertapenem","Zambia","42%",0,0,26,"Klebsiella pneumoniae",11,"urine",15
"Cefepime","Bahrain","0%",0,0,1,"Klebsiella pneumoniae",0,"urine",1
"Cefepime","Philippines","5%",0,0,22,"Klebsiella pneumoniae",1,"urine",21
"Cefepime","Saudi Arabia","4%",0,0,481,"Klebsiella pneumoniae",21,"urine",460
